中文俗名,學名,英文俗名,comNameCodes,sciNameCodes,bandingCodes,familySciName
灰叢鴝,Saxicola ferreus,Gray Bushchat,"GBCH,GRBU",SAFE,,Muscicapidae
穗䳭,Oenanthe oenanthe,Northern Wheatear,,OEOE,NOWH,Muscicapidae
沙䳭,Oenanthe isabellina,Isabelline Wheatear,ISWH,OEIS,,Muscicapidae
漠䳭,Oenanthe deserti,Desert Wheatear,DEWH,OEDE,,Muscicapidae
白頂䳭,Oenanthe pleschanka,Pied Wheatear,,OEPL,PIWH,Muscicapidae
黃連雀,Bombycilla garrulus,Bohemian Waxwing,,BOGA,BOWA,Bombycillidae
朱連雀,Bombycilla japonica,Japanese Waxwing,JAWA,BOJA,,Bombycillidae
綠啄花,Dicaeum minullum,Plain Flowerpecker,PLFL,DIMI,,Dicaeidae
紅胸啄花,Dicaeum ignipectus,Fire-breasted Flowerpecker,FBFL,DIIG,,Dicaeidae
黃腹花蜜鳥,Cinnyris ornatus,Ornate Sunbird,"ORSU,OBSU",CIOR,,Nectariniidae
藍喉太陽鳥,Aethopyga gouldiae,Mrs. Gould's Sunbird,"MGSU,GOSU",AEGO,,Nectariniidae
叉尾太陽鳥,Aethopyga christinae,Fork-tailed Sunbird,FTSU,AECH,,Nectariniidae
Blue-winged Leafbird,Chloropsis moluccensis,Blue-winged Leafbird,BWLE,CHMO,,Chloropseidae
橙腹葉鵯,Chloropsis hardwickii,Orange-bellied Leafbird,"OBLE,OBCL",CHHA,,Chloropseidae
黑頭織雀,Ploceus cucullatus,Village Weaver,,PLCU,VIWE,Ploceidae
Golden-backed Weaver,Ploceus jacksoni,Golden-backed Weaver,GBWE,PLJA,,Ploceidae
Southern Red Bishop,Euplectes orix,Southern Red Bishop,SRBI,EUOR,,Ploceidae
Zebra Finch,Taeniopygia guttata,Zebra Finch,"SZFI,TZFI,ZEFI",TAGU,,Estrildidae
白喉文鳥,Euodice malabarica,Indian Silverbill,,EUMA,INSI,Estrildidae
爪哇雀,Padda oryzivora,Java Sparrow,,PAOR,JASP,Estrildidae
斑文鳥,Lonchura punctulata,Scaly-breasted Munia,,LOPU,SBMU,Estrildidae
白腰文鳥,Lonchura striata,White-rumped Munia,WRMU,LOST,,Estrildidae
黑頭文鳥,Lonchura atricapilla,Chestnut Munia,,LOAT,CHMU,Estrildidae
白頭文鳥,Lonchura maja,White-headed Munia,WHMU,LOMA,,Estrildidae
橙頰梅花雀,Estrilda melpoda,Orange-cheeked Waxbill,OCWA,ESME,OCHW,Estrildidae
橫斑梅花雀,Estrilda astrild,Common Waxbill,COWA,ESAS,COMW,Estrildidae
Zebra Waxbill,Amandava subflava,Zebra Waxbill,"ZEWA,OBWA",AMSU,,Estrildidae
Red Avadavat,Amandava amandava,Red Avadavat,,AMAM,REAV,Estrildidae
針尾維達雀,Vidua macroura,Pin-tailed Whydah,,VIMA,PTWH,Viduidae
Broad-tailed Paradise-Whydah,Vidua obtusa,Broad-tailed Paradise-Whydah,BTPW,VIOB,,Viduidae
靛藍維達雀,Vidua chalybeata,Village Indigobird,VIIN,VICH,,Viduidae
岩鷚,Prunella collaris,Alpine Accentor,ALAC,PRCO,,Prunellidae
棕眉山岩鷚,Prunella montanella,Siberian Accentor,,PRMO,SIAC,Prunellidae
家麻雀,Passer domesticus,House Sparrow,,PADO,HOSP,Passeridae
山麻雀,Passer cinnamomeus,Russet Sparrow,RUSP,PACI,,Passeridae
麻雀,Passer montanus,Eurasian Tree Sparrow,,PAMO,ETSP,Passeridae
山鶺鴒,Dendronanthus indicus,Forest Wagtail,FOWA,DEIN,,Motacillidae
灰鶺鴒,Motacilla cinerea,Gray Wagtail,GRWA,MOCI,GRAW,Motacillidae
東方黃鶺鴒,Motacilla tschutschensis,Eastern Yellow Wagtail,,MOTS,EYWA,Motacillidae
黃頭鶺鴒,Motacilla citreola,Citrine Wagtail,,MOCI,CIWA,Motacillidae
日本鶺鴒,Motacilla grandis,Japanese Wagtail,JAWA,MOGR,,Motacillidae
白鶺鴒,Motacilla alba,White Wagtail,PWWA,MOAL,WHWA,Motacillidae
大花鷚,Anthus richardi,Richard's Pipit,RIPI,ANRI,,Motacillidae
稻田鷚,Anthus rufulus,Paddyfield Pipit,PAPI,ANRU,,Motacillidae
布萊氏鷚,Anthus godlewskii,Blyth's Pipit,BLPI,ANGO,,Motacillidae
草地鷚,Anthus pratensis,Meadow Pipit,,ANPR,MEPI,Motacillidae
粉紅胸鷚,Anthus roseatus,Rosy Pipit,ROPI,ANRO,,Motacillidae
林鷚,Anthus trivialis,Tree Pipit,,ANTR,TRPI,Motacillidae
樹鷚,Anthus hodgsoni,Olive-backed Pipit,,ANHO,OBPI,Motacillidae
白背鷚,Anthus gustavi,Pechora Pipit,,ANGU,PEPI,Motacillidae
赤喉鷚,Anthus cervinus,Red-throated Pipit,,ANCE,RTPI,Motacillidae
黃腹鷚,Anthus japonicus,Siberian Pipit,"BBPI,AMPI",ANJA,SIPI,Motacillidae
花雀,Fringilla montifringilla,Brambling,,FRMO,BRAM,Fringillidae
臘嘴雀,Coccothraustes coccothraustes,Hawfinch,,COCO,HAWF,Fringillidae
小桑鳲,Eophona migratoria,Yellow-billed Grosbeak,"YBGR,CHGR",EOMI,,Fringillidae
桑鳲,Eophona personata,Japanese Grosbeak,JAGR,EOPE,,Fringillidae
普通朱雀,Carpodacus erythrinus,Common Rosefinch,,CAER,CORO,Fringillidae
酒紅朱雀,Carpodacus vinaceus,Vinaceous Rosefinch,VIRO,CAVI,,Fringillidae
臺灣朱雀,Carpodacus formosanus,Taiwan Rosefinch,TARO,CAFO,,Fringillidae
北朱雀,Carpodacus roseus,Pallas's Rosefinch,,CARO,PARO,Fringillidae
褐鷽,Pyrrhula nipalensis,Brown Bullfinch,BRBU,PYNI,,Fringillidae
灰鷽,Pyrrhula owstoni,Taiwan Bullfinch,TABU,PYOW,,Fringillidae
歐亞鷽,Pyrrhula pyrrhula,Eurasian Bullfinch,,PYPY,EUBU,Fringillidae
金翅雀,Chloris sinica,Oriental Greenfinch,GCGR,CHSI,ORGR,Fringillidae
黃額絲雀,Crithagra mozambica,Yellow-fronted Canary,,CRMO,YFCA,Fringillidae
Lemon-breasted Seedeater,Crithagra citrinipectus,Lemon-breasted Seedeater,"LBSE,LBCA",CRCI,,Fringillidae
赤胸朱頂雀,Linaria cannabina,Eurasian Linnet,"EULI,COLI",LICA,,Fringillidae
普通朱頂雀,Acanthis flammea,Redpoll,"REDP,RESP",ACFL,UNRE,Fringillidae
紅交嘴雀,Loxia curvirostra,Red Crossbill,COCR,LOCU,RECR,Fringillidae
黃雀,Spinus spinus,Eurasian Siskin,,SPSP,EUSI,Fringillidae
鐵爪鵐,Calcarius lapponicus,Lapland Longspur,LABU,CALA,LALO,Calcariidae
冠鵐,Emberiza lathami,Crested Bunting,CRBU,EMLA,,Emberizidae
黑頭鵐,Emberiza melanocephala,Black-headed Bunting,BHBU,EMME,,Emberizidae
褐頭鵐,Emberiza bruniceps,Red-headed Bunting,RHBU,EMBR,,Emberizidae
赤胸鵐,Emberiza fucata,Chestnut-eared Bunting,CEBU,EMFU,,Emberizidae
草鵐,Emberiza cioides,Meadow Bunting,MEBU,EMCI,,Emberizidae
白頂鵐,Emberiza stewarti,White-capped Bunting,WCBU,EMST,,Emberizidae
白頭鵐,Emberiza leucocephalos,Pine Bunting,,EMLE,PIBU,Emberizidae
圃鵐,Emberiza hortulana,Ortolan Bunting,ORBU,EMHO,,Emberizidae
黃喉鵐,Emberiza elegans,Yellow-throated Bunting,,EMEL,YTBU,Emberizidae
紅頸葦鵐,Emberiza yessoensis,Ochre-rumped Bunting,"JRBU,ORBU",EMYE,,Emberizidae
葦鵐,Emberiza pallasi,Pallas's Bunting,"PRBU,PABU",EMPA,PALB,Emberizidae
蘆鵐,Emberiza schoeniclus,Reed Bunting,CRBU,EMSC,REBU,Emberizidae
金鵐,Emberiza aureola,Yellow-breasted Bunting,YBBU,EMAU,YBSB,Emberizidae
小鵐,Emberiza pusilla,Little Bunting,,EMPU,LIBU,Emberizidae
田鵐,Emberiza rustica,Rustic Bunting,,EMRU,RUBU,Emberizidae
野鵐,Emberiza sulphurata,Yellow Bunting,"JYBU,YEBU",EMSU,,Emberizidae
灰頭黑臉鵐,Emberiza spodocephala,Black-faced Bunting,BFBU,EMSP,,Emberizidae
黃喉黑臉鵐,Emberiza personata,Masked Bunting,MABU,EMPE,,Emberizidae
鏽鵐,Emberiza rutila,Chestnut Bunting,CHBU,EMRU,,Emberizidae
黃眉鵐,Emberiza chrysophrys,Yellow-browed Bunting,YBBU,EMCH,YBWB,Emberizidae
白眉鵐,Emberiza tristrami,Tristram's Bunting,TRBU,EMTR,,Emberizidae
灰鵐,Emberiza variabilis,Gray Bunting,,EMVA,GRBU,Emberizidae
稀樹草鵐,Passerculus sandwichensis,Savannah Sparrow,"SASP,SBBS",PASA,SAVS,Passerellidae
White-browed Meadowlark,Leistes superciliaris,White-browed Meadowlark,"WBBL,WBME",LESU,,Icteridae
紅冠唐納雀,Paroaria coronata,Red-crested Cardinal,,PACO,RCCA,Thraupidae
紅頂唐納雀,Paroaria gularis,Red-capped Cardinal,RCCA,PAGU,,Thraupidae
橙額黃雀鵐,Sicalis columbiana,Orange-fronted Yellow-Finch,OFYF,SICO,,Thraupidae
橙黃雀鵐,Sicalis flaveola,Saffron Finch,,SIFL,SAFI,Thraupidae
